iter	Passed	Remaining
0	139	138868
1	141	70457
2	144	47962
3	146	36409
4	147	29362
5	148	24660
6	152	21692
7	154	19156
8	155	17129
9	157	15577
10	159	14321
11	161	13275
12	162	12342
13	163	11547
14	165	10854
15	166	10228
16	167	9688
17	168	9209
18	170	8785
19	171	8393
20	174	8124
21	175	7820
22	177	7528
23	178	7256
24	179	7006
25	180	6768
26	181	6557
27	183	6361
28	184	6172
29	185	5991
30	186	5833
31	188	5695
32	189	5553
33	190	5423
34	192	5296
35	193	5173
36	194	5059
37	195	4952
38	196	4852
39	198	4757
40	199	4665
41	201	4601
42	203	4524
43	204	4442
44	205	4363
45	206	4290
46	208	4221
47	209	4153
48	210	4087
49	211	4024
50	213	3965
51	214	3903
52	216	3861
53	217	3808
54	218	3755
55	219	3705
56	221	3660
57	222	3610
58	223	3563
59	224	3520
60	226	3479
61	227	3439
62	234	3483
63	239	3498
64	242	3482
65	246	3482
66	247	3450
67	250	3433
68	251	3399
69	253	3369
70	255	3349
71	258	3327
72	259	3301
73	264	3315
74	267	3294
75	271	3300
76	273	3275
77	274	3248
78	278	3245
79	281	3240
80	283	3212
81	284	3185
82	285	3152
83	286	3125
84	288	3100
85	289	3078
86	292	3074
87	295	3061
88	297	3046
89	299	3025
90	301	3008
91	302	2985
92	303	2962
93	304	2938
94	306	2920
95	308	2901
96	310	2886
97	311	2867
98	312	2847
99	314	2833
100	316	2819
101	318	2800
102	319	2781
103	320	2762
104	322	2746
105	323	2731
106	325	2714
107	326	2696
108	327	2678
109	329	2662
110	330	2644
111	331	2628
112	332	2612
113	334	2599
114	335	2583
115	337	2568
116	338	2552
117	339	2539
118	340	2523
119	342	2510
120	343	2495
121	344	2481
122	345	2466
123	347	2452
124	348	2438
125	349	2424
126	350	2410
127	352	2399
128	353	2389
129	355	2378
130	356	2363
131	357	2351
132	358	2339
133	360	2327
134	361	2317
135	362	2303
136	363	2292
137	366	2291
138	368	2280
139	369	2272
140	371	2261
141	373	2254
142	374	2244
143	376	2238
144	378	2231
145	379	2222
146	381	2212
147	382	2204
148	384	2194
149	385	2185
150	387	2175
151	388	2166
152	389	2156
153	390	2145
154	391	2135
155	393	2127
156	394	2118
157	396	2111
158	398	2105
159	399	2096
160	400	2086
161	401	2077
162	402	2069
163	404	2063
164	406	2055
165	407	2046
166	408	2037
167	410	2031
168	411	2022
169	413	2017
170	414	2008
171	415	2001
172	417	1993
173	418	1985
174	419	1978
175	420	1970
176	422	1962
177	423	1955
178	425	1950
179	426	1944
180	428	1937
181	429	1930
182	430	1923
183	432	1916
184	433	1909
185	434	1902
186	435	1895
187	437	1888
188	438	1881
189	440	1877
190	441	1871
191	443	1865
192	444	1860
193	446	1853
194	447	1848
195	449	1843
196	450	1837
197	452	1831
198	453	1826
199	456	1825
200	457	1819
201	459	1814
202	460	1809
203	462	1804
204	463	1798
205	464	1791
206	466	1785
207	467	1778
208	468	1774
209	470	1768
210	471	1762
211	472	1756
212	473	1751
213	475	1745
214	476	1741
215	478	1735
216	479	1730
217	480	1723
218	481	1718
219	483	1714
220	485	1710
221	486	1704
222	487	1699
223	489	1694
224	490	1688
225	491	1683
226	493	1680
227	494	1674
228	495	1669
229	496	1663
230	499	1662
231	500	1657
232	502	1652
233	503	1649
234	505	1644
235	506	1639
236	508	1635
237	509	1630
238	510	1625
239	512	1621
240	514	1621
241	516	1618
242	518	1615
243	519	1610
244	521	1607
245	522	1602
246	524	1598
247	525	1593
248	527	1589
249	528	1586
250	530	1582
251	531	1578
252	533	1573
253	534	1569
254	535	1565
255	537	1561
256	538	1556
257	539	1551
258	540	1547
259	542	1545
260	544	1541
261	546	1538
262	547	1534
263	548	1529
264	550	1525
265	551	1521
266	552	1517
267	554	1513
268	556	1511
269	557	1507
270	558	1503
271	560	1499
272	562	1496
273	563	1492
274	564	1488
275	565	1484
276	567	1482
277	569	1478
278	570	1474
279	571	1469
280	572	1465
281	574	1462
282	576	1459
283	577	1455
284	578	1452
285	580	1448
286	581	1444
287	583	1442
288	584	1438
289	586	1435
290	587	1431
291	589	1428
292	590	1424
293	591	1421
294	593	1417
295	594	1414
296	595	1410
297	597	1407
298	598	1403
299	600	1401
300	601	1397
301	603	1394
302	604	1391
303	606	1387
304	607	1384
305	608	1380
306	610	1377
307	612	1375
308	613	1373
309	615	1369
310	616	1366
311	618	1363
312	619	1359
313	620	1356
314	622	1353
315	623	1349
316	625	1346
317	627	1346
318	629	1343
319	630	1339
320	631	1336
321	632	1332
322	634	1330
323	636	1327
324	637	1323
325	638	1320
326	639	1316
327	641	1314
328	643	1312
329	644	1309
330	645	1305
331	647	1302
332	648	1299
333	650	1296
334	651	1293
335	652	1289
336	653	1285
337	654	1282
338	657	1281
339	658	1277
340	659	1274
341	661	1272
342	662	1269
343	663	1266
344	665	1262
345	666	1259
346	667	1256
347	668	1253
348	670	1249
349	672	1248
350	674	1246
351	675	1243
352	677	1241
353	678	1238
354	679	1235
355	681	1232
356	682	1229
357	684	1226
358	685	1223
359	686	1220
360	688	1218
361	689	1215
362	690	1212
363	692	1209
364	693	1206
365	694	1203
366	695	1200
367	696	1196
368	698	1193
369	699	1190
370	701	1188
371	702	1186
372	704	1184
373	705	1181
374	707	1179
375	708	1176
376	709	1173
377	711	1171
378	713	1168
379	714	1165
380	715	1163
381	717	1160
382	718	1158
383	720	1155
384	722	1153
385	723	1150
386	724	1148
387	725	1145
388	727	1142
389	728	1139
390	729	1136
391	731	1134
392	732	1131
393	734	1129
394	735	1126
395	737	1124
396	738	1122
397	740	1119
398	741	1117
399	743	1114
400	745	1113
401	747	1111
402	748	1108
403	749	1106
404	750	1103
405	751	1100
406	753	1097
407	754	1094
408	755	1091
409	756	1089
410	758	1086
411	760	1084
412	761	1082
413	762	1079
414	764	1077
415	765	1074
416	766	1072
417	768	1069
418	769	1066
419	770	1064
420	772	1061
421	773	1060
422	775	1057
423	776	1055
424	778	1052
425	779	1050
426	780	1047
427	782	1045
428	783	1042
429	784	1039
430	785	1037
431	786	1034
432	787	1031
433	789	1029
434	790	1026
435	791	1024
436	793	1022
437	794	1019
438	795	1016
439	797	1014
440	798	1012
441	799	1009
442	800	1006
443	802	1004
444	803	1001
445	804	999
446	806	997
447	808	996
448	810	994
449	811	991
450	812	989
451	813	986
452	814	984
453	816	981
454	817	979
455	818	976
456	820	974
457	821	972
458	822	969
459	824	967
460	825	965
461	826	962
462	828	960
463	829	957
464	830	955
465	831	953
466	833	951
467	835	949
468	836	947
469	837	944
470	839	942
471	840	940
472	841	937
473	842	935
474	844	933
475	845	930
476	847	928
477	849	927
478	850	925
479	851	922
480	853	920
481	854	918
482	856	916
483	857	913
484	858	911
485	860	909
486	861	907
487	863	906
488	864	903
489	866	901
490	867	899
491	868	897
492	870	894
493	871	892
494	872	890
495	873	888
496	875	885
497	876	883
498	877	881
499	879	879
500	880	877
501	881	874
502	883	872
503	884	870
504	885	868
505	887	866
506	889	864
507	890	862
508	891	859
509	893	858
510	895	856
511	897	855
512	898	852
513	899	850
514	901	848
515	902	846
516	903	844
517	905	842
518	906	839
519	908	838
520	910	836
521	911	834
522	912	832
523	913	830
524	915	828
525	917	826
526	918	824
527	919	822
528	921	820
529	922	818
530	924	816
531	926	814
532	927	812
533	929	810
534	930	808
535	931	806
536	933	804
537	934	802
538	936	800
539	938	799
540	940	797
541	941	796
542	943	794
543	945	792
544	946	790
545	947	788
546	949	786
547	950	784
548	951	781
549	953	780
550	954	777
551	955	775
552	958	774
553	959	772
554	961	770
555	962	768
556	963	766
557	965	764
558	966	762
559	967	760
560	970	759
561	971	757
562	973	755
563	974	753
564	975	751
565	976	749
566	978	746
567	979	744
568	980	742
569	982	741
570	985	740
571	986	738
572	988	736
573	989	734
574	991	732
575	992	730
576	994	728
577	995	726
578	996	724
579	998	722
580	999	720
581	1000	718
582	1002	716
583	1003	714
584	1005	713
585	1006	711
586	1007	709
587	1009	707
588	1010	704
589	1012	703
590	1013	701
591	1015	699
592	1016	697
593	1018	696
594	1019	694
595	1021	692
596	1022	690
597	1023	688
598	1024	686
599	1025	683
600	1027	682
601	1028	680
602	1031	678
603	1032	676
604	1033	674
605	1035	673
606	1036	671
607	1037	669
608	1040	667
609	1041	665
610	1042	663
611	1044	662
612	1045	660
613	1047	658
614	1049	656
615	1050	654
616	1051	652
617	1052	650
618	1053	648
619	1055	647
620	1059	646
621	1061	644
622	1062	643
623	1063	641
624	1065	639
625	1066	637
626	1068	635
627	1069	633
628	1071	632
629	1073	630
630	1075	628
631	1076	626
632	1077	624
633	1079	623
634	1080	621
635	1081	619
636	1083	617
637	1084	615
638	1086	613
639	1087	611
640	1089	610
641	1090	608
642	1093	606
643	1094	605
644	1096	603
645	1097	601
646	1098	599
647	1099	597
648	1101	595
